"name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_C182S"
"YY1",0.579963512378225,0.83189707888399,0.0847295811591309,0.568827711498775,0.148954735232363,12,24.728416652919,16.0000009881254,16,"YY1",0,0
"RPL12",0.327898828973849,0.627208781099913,-0.117209795645994,-1.01989852209314,0.114922997834574,12,28.2018564661963,16.0000000067711,16,"RPL12",0,0
"BUD31",0.180943825741884,0.451522968066604,-0.132686491872839,-1.42041817558436,0.0934136820786962,12,24.0373802365908,16,16,"BUD31",0,0
"EMD",0.0223907457553374,0.162054094757979,-0.331998424111234,-2.61985886667468,0.126723782083968,12,26.1774622154456,16.0000000000003,16,"EMD",0,0
"EIF5",0.638296597129139,0.877231444238724,0.0901038886560031,0.482262284959652,0.186835859792647,12,23.0497474206751,16.0000000000655,16,"EIF5",0,0
"HNRNPH2",0.789399548680625,0.941563541109262,-0.0434978894878597,-0.273126643541999,0.159259048929699,12,25.7504319000723,16.0000000000302,16,"HNRNPH2",0,0
"RPS25",0.273440723307073,0.564808104025446,0.120843250023562,1.14774596530542,0.105287453562431,12,28.3875325385867,16.0000000001393,16,"RPS25",0,0
"OTUD4",0.00593975685983725,0.0959444380240643,-0.496215913875428,-3.33528055372488,0.148777863175932,12,22.848899532904,16.0000000000005,16,"OTUD4",0,0
"CBX3",0.074917516781603,0.291744169215091,0.24324955232353,1.95007843800415,0.124738342613792,12,27.359063644258,16.0000000000023,16,"CBX3",0,0
"CKAP5",0.651263457849714,0.886146857427919,0.0587411832741971,0.463552753102894,0.12671952195516,12,23.9013201963558,16.0000000000935,16,"CKAP5",0,0
"KARS",0.0451101423235886,0.22428961326634,-0.33396345581053,-2.236132277738,0.149348703176163,12,25.5161191544335,16.0000000000185,16,"KARS",0,0
"CDC37",0.429699944774746,0.727703029994023,-0.071494587512813,-0.817274045578343,0.087479331932314,12,26.202324652782,16.000000000485,16,"CDC37",0,0
"NUP93",0.440266890254134,0.737515991330848,0.0809997606173418,0.798197381042041,0.101478359289525,12,24.8522737597939,16.0000000538957,16,"NUP93",0,0
"PALLD",0.79868305265102,0.941563541109262,0.0198587763623443,0.260780628296805,0.0761512712506479,12,24.1161694603773,16.0000000017433,16,"PALLD",0,0
"DNAJA3",0.748819370846595,0.941563541109262,-0.0443045391094046,-0.327653468046925,0.135217671808862,12,25.370843892426,16.0000000404535,16,"DNAJA3",0,0
"PDLIM5",0.580880991186539,0.831906135217113,-0.0469440481579149,-0.567432564496093,0.0827306205092466,12,25.1706504537197,16.0000000007006,16,"PDLIM5",0,0
"RBM17",0.440272172007032,0.737515991330848,0.146827051360169,0.798187920671469,0.183950480278695,12,25.2678624368797,16.0000000000019,16,"RBM17",0,0
"THOC3",0.75262221697253,0.941563541109262,0.0345911809951716,0.322501690248477,0.107258913801413,12,26.0768253357368,16.0000000004885,16,"THOC3",0,0
"ZFR",0.686623378966837,0.912759720526639,0.0322620043584791,0.413374813014981,0.0780454041773221,12,25.725907868473,16.0000000005645,16,"ZFR",0,0
"TBCB",0.0311846440112395,0.190632084506424,-0.230721043265707,-2.4395294655662,0.0945760428485572,12,25.7712894852434,16.0000000000631,16,"TBCB",0,0
"CDC5L",0.0147511220926466,0.138853482792765,0.311308722706531,2.84529180515484,0.109411879000435,12,25.9157090144586,16.0000000022348,16,"CDC5L",0,0
"DDX23",0.184475538664681,0.457916284543473,0.143823200872323,1.40810805712375,0.102139321016387,12,24.6415145409334,16.0000000000008,16,"DDX23",0,0
"TARS2",0.915674912452769,0.96201885963475,0.0154526710699727,0.10813593535814,0.142900424533198,12,23.9861634796406,16.0000000000009,16,"TARS2",0,0
"LRRC40",0.987137564999659,0.993912528703795,-0.00144470536754682,-0.0164604533520127,0.0877682610953219,12,24.4496436015307,16.0000000000028,16,"LRRC40",0,0
"RNF114",0.121544749192554,0.368536165689783,0.215384187076886,1.66618354802851,0.129267983309364,12,23.8876260499711,16.0000000000062,16,"RNF114",0,0
"CDC2;CDK1",0.292140774146524,0.585210946301998,-0.111856720053495,-1.10183918842385,0.101518189976074,12,25.7485212901527,16.0000000053085,16,"CDC2;CDK1",0,0
"RPS24",0.00210950686505565,0.0656925214553522,-0.398692040464841,-3.90014914992849,0.102224818882158,12,27.0817424724311,16.0000000000001,16,"RPS24",0,0
"MRPL45",0.126501745585728,0.376911352383974,-0.1684605125198,-1.64207798675634,0.10258983670597,12,25.8531686864602,16,16,"MRPL45",0,0
"CORO7-PAM16;CORO7",0.242972945450795,0.53431419552567,0.113114482375689,1.22804539699978,0.092109365543031,12,23.6934390705159,16.0000000007147,16,"CORO7-PAM16;CORO7",0,0
"EIF4G1",0.0409741698235688,0.214405004977068,0.223964932000182,2.28942435396701,0.0978258712117334,12,25.0234005343513,16.0000009360502,16,"EIF4G1",0,0
"PCBP2",0.02223456306687,0.161542652435836,-0.366164347056028,-2.62365295824543,0.139562797703588,12,27.1465505072163,16.0000000001184,16,"PCBP2",0,0
"PML",0.00191988631992279,0.0656925214553522,0.361486048043048,3.95227706092684,0.0914627295785476,12,25.2107715485038,16.0000000002771,16,"PML",0,0
"NSF",0.0451191387195389,0.22428961326634,-0.216341299685862,-2.23602151021968,0.0967527810877845,12,24.3881697492536,16.0000000000015,16,"NSF",0,0
"DPYSL4",0.741148099008916,0.939171461488395,0.0299416735953812,0.33807451834274,0.0885653072646735,12,24.7052269746403,16.00000011869,16,"DPYSL4",0,0
"SETD1A",0.12959551144766,0.380724605170498,0.221356252975479,1.62745053381957,0.136014120475886,12,24.1165954004759,16.0000000000059,16,"SETD1A",0,0
"NVL",0.710026115963936,0.926910389119472,0.0348366104104052,0.380773934670225,0.0914889577212684,12,25.2543180483455,16.0000001216484,16,"NVL",0,0
"HTATSF1",0.575886308120721,0.829785839847476,0.0635156406818673,0.575041840876517,0.110453946420755,12,26.8470479250618,16.0000000438941,16,"HTATSF1",0,0
"WDR1",0.432957947401696,0.730229966644468,-0.0700901035691999,-0.811360011999556,0.0863859477083007,12,25.9942546934072,16.0000001959801,16,"WDR1",0,0
"LDHA",0.221740335859005,0.504052339876847,-0.144066221324152,-1.28885782052074,0.111778210932487,12,26.575841016464,16.0000000000013,16,"LDHA",0,0
"ATP1A1",0.712127043254852,0.927729644626494,0.0410635437844356,0.377868875071802,0.108671410887263,12,24.5739695813649,16.0000000247214,16,"ATP1A1",0,0
"SLC25A5",0.00263148845169467,0.0709192228299966,-0.233378788398625,-3.77834650428219,0.0617674393108533,12,28.9299493417258,16.0000000001295,16,"SLC25A5",0,0
