"","name","pval","adj_pval","diff","t_statistic","se","df","avg_abundance","n_approx","n_obs","Gene.names","n_obs_wt","n_obs_wtdia"
"131","RBM17",2.96604821652139e-07,7.57143929866067e-06,-1.86924152984617,-10.1756883180634,0.183696814546489,12,25.2678624368797,16.0000000000019,16,"RBM17",4,4
"132","RPS12",9.26190181111008e-06,0.00011073248431131,-1.09253331785743,-7.31684160757124,0.149317612223136,12,26.7783969728551,16.0000000039236,16,"RPS12",4,4
"133","DNAJA1",2.32092996910482e-09,1.7536946846556e-07,-1.66602379064211,-15.6902367053027,0.106182196096446,12,26.69015682839,16.0000000001776,16,"DNAJA1",4,4
"134","TCEA1",4.33796253671007e-09,2.64335846188559e-07,-2.07146333977303,-14.8564526663632,0.139431894429487,12,23.7871254844717,14.9637424593969,15,"TCEA1",3,4
"135","HCFC1",4.40265289272335e-10,4.37716384966021e-08,-3.32481651662047,-18.1197022286231,0.183491785608285,12,24.6466460212001,16.0000000003766,16,"HCFC1",4,4
"136","AIP",3.78516163244232e-08,1.53320146501547e-06,-2.17750488976667,-12.2663510063727,0.177518553695015,12,25.5880657529032,16.0000001163937,16,"AIP",4,4
"137","TMPO",4.41771316035569e-07,1.06987950768101e-05,-1.06912684703317,-9.8072489753733,0.10901393955816,12,24.364724046841,16.0000000000077,16,"TMPO",4,4
"138","STIP1",5.82517426226757e-08,2.02310795532173e-06,-2.23110534302258,-11.8009842335562,0.189060954481951,12,24.8948250415271,16.0000000000054,16,"STIP1",4,4
"139","U2SURP",3.27740851142521e-08,1.4070510632005e-06,-2.49151862727505,-12.4253168833029,0.200519524023017,12,24.4773953820747,16.0000000000511,16,"U2SURP",4,4
"140","DFFA",1.42765069639267e-14,1.34841608274287e-11,-4.79303426858398,-43.4715462611246,0.110256815798389,12,24.2687616719105,16.0000000018989,16,"DFFA",4,4
"141","NCOR1",5.43241757068498e-05,0.00042757653295933,-1.3697786682276,-6.08824151849724,0.224987570559733,12,23.2955494920124,14.8746073642583,15,"NCOR1",3,4
"142","ZRANB2",1.17191613083285e-07,3.62909765761191e-06,-1.3410358779048,-11.0783217677103,0.12105045385245,12,27.5750060762257,16.0000000000001,16,"ZRANB2",4,4
"143","USP5",9.08921718338971e-06,0.00011073248431131,-1.30356658415388,-7.3306821430125,0.177823367419691,12,25.0071530429584,16.0000000000034,16,"USP5",4,4
"144","RBM26",5.19363135051886e-06,7.26723675639269e-05,-4.48571003456914,-7.75036291973359,0.578774191741118,12,24.0677592744589,12.0908623133462,12,"RBM26",0,4
"145","IRF2BP1",5.89424234427129e-05,0.000456320647062642,-1.15056758848458,-6.03477059968058,0.190656391900875,12,23.0373394213888,16.0000009999114,16,"IRF2BP1",4,4
"146","RCC2",2.02453922575569e-06,3.50858219949771e-05,-1.23995247275562,-8.49434645173041,0.145973852114665,12,25.8443213423966,16.0000000008982,16,"RCC2",4,4
"147","TRIM33",6.29851316403066e-08,2.12462345836677e-06,-1.83626091202102,-11.7182886875614,0.15670043305642,12,25.3100135464625,16.0000000000004,16,"TRIM33",4,4
"148","HDLBP",3.16201530718094e-08,1.38908067796856e-06,-1.69761411848425,-12.465151783267,0.13618880443663,12,25.111885420431,16.0000000336094,16,"HDLBP",4,4
"149","NPM1",1.13462851530098e-12,3.07550866461135e-10,-2.14024782260007,-30.0936190484168,0.0711196556039566,12,28.5872292626586,16.0000000188109,16,"NPM1",4,4
"150","FLNA",3.81474160167958e-08,1.53320146501547e-06,-1.2754949160746,-12.2578100721248,0.104055692539663,12,24.5589189785923,16.0000000028516,16,"FLNA",4,4
"151","YWHAQ",9.11352285349735e-17,1.72154446702565e-13,-5.01537769397234,-66.3504523471888,0.075589201226973,12,27.8286531982748,16.000000001759,16,"YWHAQ",4,4
"152","PRDX1",9.55945763333393e-10,8.598959747318e-08,-1.41953386231588,-16.9462914083208,0.0837666382639257,12,27.613563534982,16.0000000000959,16,"PRDX1",4,4
"153","DNAJC7",1.97065882049029e-06,3.47904159991229e-05,-1.30102566059842,-8.51638042533371,0.152767442930127,12,26.5459003504067,16.000001181267,16,"DNAJC7",4,4
"154","HNRNPA3",9.75825797942341e-09,5.12037481198079e-07,-1.38723026722285,-13.8352987407572,0.100267460299663,12,27.3949509532463,16.0000000000718,16,"HNRNPA3",4,4
"155","TLN1",0.00136896247459219,0.00551379555331482,-1.13587224627424,-4.14076039771124,0.274314893202245,12,24.7559018231299,11.9154218787593,14,"TLN1",2,4
"156","RNH1",3.4386024577361e-10,3.60862224592416e-08,-2.14333743006686,-18.5093837093904,0.115797341700766,12,26.52362292688,16.0000000000023,16,"RNH1",4,4
"157","FHL1",1.0550500449611e-07,3.3779483642907e-06,-1.09783534998456,-11.1844803245339,0.0981570281433981,12,26.7975765319148,16.0000003132217,16,"FHL1",4,4
"158","KHSRP",5.95188531245832e-13,2.24862227104675e-10,-3.42432115587367,-31.77578982382,0.107765099620174,12,27.4956942174565,16.0000000015958,16,"KHSRP",4,4
